perturb_type,level,pid,dice,seed,commit
scale,0.90,223,0.834366,42,9d844b58
scale,0.90,224,0.850668,42,9d844b58
scale,0.90,225,0.82599,42,9d844b58
scale,0.90,226,0.787841,42,9d844b58
scale,0.90,227,0.82524,42,9d844b58
scale,0.90,228,0.829453,42,9d844b58
scale,0.90,229,0.666489,42,9d844b58
scale,0.90,230,0.750209,42,9d844b58
scale,0.90,231,0.80031,42,9d844b58
scale,0.90,232,0.85414,42,9d844b58
scale,0.90,233,0.793159,42,9d844b58
scale,0.90,234,0.755123,42,9d844b58
scale,0.90,235,0.847088,42,9d844b58
scale,0.90,236,0.831429,42,9d844b58
scale,0.90,237,0.828081,42,9d844b58
scale,0.90,238,0.738037,42,9d844b58
scale,0.90,239,0.801539,42,9d844b58
scale,0.90,240,0.882748,42,9d844b58
scale,0.90,241,0.82308,42,9d844b58
scale,0.90,242,0.76706,42,9d844b58
scale,0.90,243,0.815331,42,9d844b58
scale,0.90,244,0.826017,42,9d844b58
scale,0.90,245,0.876741,42,9d844b58
scale,0.90,246,0.876608,42,9d844b58
scale,0.90,247,0.74616,42,9d844b58
scale,0.90,248,0.70532,42,9d844b58
scale,0.90,249,0.841763,42,9d844b58
scale,0.90,250,0.879209,42,9d844b58
scale,0.90,251,0.835942,42,9d844b58
scale,0.90,252,0.828261,42,9d844b58
scale,0.90,253,0.831891,42,9d844b58
scale,0.90,254,0.877262,42,9d844b58
scale,0.90,255,0.831311,42,9d844b58
scale,0.90,256,0.813468,42,9d844b58
scale,0.90,257,0.782214,42,9d844b58
scale,0.90,258,0.845052,42,9d844b58
scale,0.90,259,0.868178,42,9d844b58
scale,1.00,182,0.852462,42,9d844b58
scale,1.00,183,0.855886,42,9d844b58
scale,1.00,184,0.872764,42,9d844b58
scale,1.00,185,0.873966,42,9d844b58
scale,1.00,186,0.869539,42,9d844b58
scale,1.00,187,0.86619,42,9d844b58
scale,1.00,188,0.848564,42,9d844b58
scale,1.00,189,0.772109,42,9d844b58
scale,1.00,190,0.848554,42,9d844b58
scale,1.00,191,0.864138,42,9d844b58
scale,1.00,192,0.885478,42,9d844b58
scale,1.00,193,0.897603,42,9d844b58
scale,1.00,194,0.870329,42,9d844b58
scale,1.00,195,0.870844,42,9d844b58
scale,1.00,196,0.807478,42,9d844b58
scale,1.00,197,0.913227,42,9d844b58
scale,1.00,198,0.834718,42,9d844b58
scale,1.00,199,0.795642,42,9d844b58
scale,1.00,200,0.880242,42,9d844b58
scale,1.00,201,0.845604,42,9d844b58
scale,1.00,202,0.851472,42,9d844b58
scale,1.00,203,0.84738,42,9d844b58
scale,1.00,204,0.856152,42,9d844b58
scale,1.00,205,0.878222,42,9d844b58
scale,1.00,206,0.877033,42,9d844b58
scale,1.00,207,0.866723,42,9d844b58
scale,1.00,208,0.867553,42,9d844b58
scale,1.00,209,0.876397,42,9d844b58
scale,1.00,210,0.863519,42,9d844b58
scale,1.00,211,0.900369,42,9d844b58
scale,1.00,212,0.903619,42,9d844b58
scale,1.00,213,0.794971,42,9d844b58
scale,1.00,214,0.657442,42,9d844b58
scale,1.00,215,0.866384,42,9d844b58
scale,1.00,216,0.882385,42,9d844b58
scale,1.00,217,0.829748,42,9d844b58
scale,1.00,218,0.836852,42,9d844b58
scale,1.00,219,0.833247,42,9d844b58
scale,1.00,220,0.816053,42,9d844b58
scale,1.00,221,0.876008,42,9d844b58
scale,1.00,222,0.869629,42,9d844b58
scale,1.00,223,0.871152,42,9d844b58
scale,1.00,224,0.864272,42,9d844b58
scale,1.00,225,0.862838,42,9d844b58
scale,1.00,226,0.86425,42,9d844b58
scale,1.00,227,0.850589,42,9d844b58
scale,1.00,228,0.863895,42,9d844b58
scale,1.00,229,0.8864,42,9d844b58
scale,1.00,230,0.889211,42,9d844b58
scale,1.00,231,0.855626,42,9d844b58
scale,1.00,232,0.881545,42,9d844b58
scale,1.00,233,0.854906,42,9d844b58
scale,1.00,234,0.881015,42,9d844b58
scale,1.00,235,0.866227,42,9d844b58
scale,1.00,236,0.852861,42,9d844b58
scale,1.00,237,0.869612,42,9d844b58
scale,1.00,238,0.852401,42,9d844b58
scale,1.00,239,0.884478,42,9d844b58
scale,1.00,240,0.908396,42,9d844b58
scale,1.00,241,0.883679,42,9d844b58
scale,1.00,242,0.862432,42,9d844b58
scale,1.00,243,0.878141,42,9d844b58
scale,1.00,244,0.895931,42,9d844b58
scale,1.00,245,0.907252,42,9d844b58
scale,1.00,246,0.89582,42,9d844b58
scale,1.00,247,0.860054,42,9d844b58
scale,1.00,248,0.863361,42,9d844b58
scale,1.00,249,0.881885,42,9d844b58
scale,1.00,250,0.901029,42,9d844b58
scale,1.00,251,0.902131,42,9d844b58
scale,1.00,252,0.884325,42,9d844b58
scale,1.00,253,0.89259,42,9d844b58
scale,1.00,254,0.903155,42,9d844b58
scale,1.00,255,0.863603,42,9d844b58
scale,1.00,256,0.88171,42,9d844b58
scale,1.00,257,0.868513,42,9d844b58
scale,1.00,258,0.880933,42,9d844b58
scale,1.00,259,0.891011,42,9d844b58
