bb_idx,MT_DeepImmuno,WT_DeepImmuno
306,0.37880504,0.5715498
307,0.60116756,0.655206
308,0.43192485,0.49443674
309,0.84509027,0.8389341
310,0.7688327,0.9066804
311,0.94919527,0.94789267
312,0.96699154,0.96216655
313,0.7760328,0.7335682
314,0.7057656,0.71396554
315,0.8037108,0.7369292
316,0.8532755,0.8310027
317,0.57412136,0.55808944
318,0.91804075,0.9186074
319,0.8597481,0.8954811
320,0.95038867,0.9282781
321,0.72439224,0.4361254
322,0.74763626,0.44491437
323,0.7778747,0.63325083
324,0.85701394,0.69955057
