bb_idx,MT_Neoag
594,34.773693
595,34.773693
596,34.773693
597,34.773693
598,34.773693
599,34.773693
600,34.773693
601,34.773693
602,34.773693
603,34.773693
604,34.773693
605,34.773693
606,34.773693
607,34.773693
608,34.773693
609,34.773693
610,34.773693
611,34.773693
612,34.773693
613,34.773693
614,34.773693
615,34.773693
616,34.773693
617,34.773693
618,125.082993
619,125.082993
620,125.082993
621,125.082993
622,125.082993
623,125.082993
624,13.16998
625,13.16998
626,13.16998
627,13.16998
628,13.16998
629,13.16998
630,13.16998
631,13.16998
632,13.16998
633,13.16998
634,13.16998
635,13.16998
636,43.318294
637,43.318294
638,43.318294
639,43.318294
640,43.318294
641,43.318294
642,13.16998
643,13.16998
644,13.16998
645,13.16998
646,13.16998
647,13.16998
648,13.16998
649,13.16998
650,13.16998
651,13.16998
652,13.16998
653,13.16998
654,13.16998
655,13.16998
656,13.16998
657,13.16998
658,13.16998
659,13.16998
660,13.16998
661,13.16998
662,13.16998
663,13.16998
664,13.16998
665,13.16998
666,54.97577
667,54.97577
668,54.97577
669,54.97577
670,54.97577
671,54.97577
672,71.789602
673,71.789602
674,71.789602
675,71.789602
676,71.789602
677,71.789602
678,34.773693
679,34.773693
680,34.773693
681,34.773693
682,34.773693
683,34.773693
684,34.773693
685,34.773693
686,34.773693
687,34.773693
688,34.773693
689,34.773693
690,34.773693
691,34.773693
692,34.773693
693,34.773693
694,34.773693
695,34.773693
696,34.773693
697,34.773693
698,34.773693
699,34.773693
700,34.773693
701,34.773693
702,125.082993
703,125.082993
704,125.082993
705,125.082993
706,125.082993
707,125.082993
708,125.082993
709,125.082993
710,125.082993
711,125.082993
712,125.082993
713,125.082993
714,142.385411
715,142.385411
716,142.385411
717,142.385411
718,142.385411
719,142.385411
720,1.933884
721,1.933884
722,1.933884
723,1.933884
724,1.933884
725,1.933884
726,1.933884
727,1.933884
728,1.933884
729,1.933884
730,1.933884
731,1.933884
732,1.933884
733,1.933884
734,1.933884
735,1.933884
736,1.933884
737,1.933884
738,1.933884
739,1.933884
740,1.933884
741,1.933884
742,1.933884
743,1.933884
744,1.933884
745,1.933884
746,1.933884
747,1.933884
748,1.933884
749,1.933884
750,1.933884
751,1.933884
752,1.933884
753,1.933884
754,1.933884
755,1.933884
756,1.933884
757,1.933884
758,1.933884
759,1.933884
760,1.933884
761,1.933884
762,1.933884
763,1.933884
764,1.933884
765,1.933884
766,1.933884
767,1.933884
768,13.16998
769,13.16998
770,13.16998
771,13.16998
772,13.16998
773,13.16998
774,13.16998
775,13.16998
776,13.16998
777,13.16998
778,13.16998
779,13.16998
780,13.16998
781,13.16998
782,13.16998
783,13.16998
784,13.16998
785,13.16998
786,13.16998
787,13.16998
788,13.16998
789,13.16998
790,13.16998
791,13.16998
792,13.16998
793,13.16998
794,13.16998
795,13.16998
796,13.16998
797,13.16998
798,13.16998
799,13.16998
800,13.16998
801,13.16998
802,13.16998
803,13.16998
804,13.16998
805,13.16998
806,13.16998
807,13.16998
808,13.16998
809,13.16998
810,13.16998
811,13.16998
812,13.16998
813,13.16998
814,13.16998
815,13.16998
816,39.513792
817,39.513792
818,39.513792
819,39.513792
820,39.513792
821,39.513792
822,39.513792
823,39.513792
824,39.513792
825,39.513792
826,39.513792
827,39.513792
828,39.513792
829,39.513792
830,39.513792
831,39.513792
832,39.513792
833,39.513792
834,39.513792
835,39.513792
836,39.513792
837,39.513792
838,39.513792
839,39.513792
840,97.084433
841,97.084433
842,97.084433
843,97.084433
844,97.084433
845,97.084433
846,97.084433
847,97.084433
848,97.084433
849,97.084433
850,97.084433
851,97.084433
852,163.931936
853,163.931936
854,163.931936
855,163.931936
856,163.931936
857,163.931936
858,39.513792
859,39.513792
860,39.513792
861,39.513792
862,39.513792
863,39.513792
864,1.933884
865,1.933884
866,1.933884
867,1.933884
868,1.933884
869,1.933884
870,1.933884
871,1.933884
872,1.933884
873,1.933884
874,1.933884
875,1.933884
876,1.933884
877,1.933884
878,1.933884
879,1.933884
880,1.933884
881,1.933884
882,1.933884
883,1.933884
884,1.933884
885,1.933884
886,1.933884
887,1.933884
888,1.933884
889,1.933884
890,1.933884
891,1.933884
892,1.933884
893,1.933884
894,1.933884
895,1.933884
896,1.933884
897,1.933884
898,1.933884
899,1.933884
900,1.933884
901,1.933884
902,1.933884
903,1.933884
904,1.933884
905,1.933884
906,1.933884
907,1.933884
908,1.933884
909,1.933884
910,1.933884
911,1.933884
912,22.440171
913,22.440171
914,22.440171
915,22.440171
