bb_idx,MT_MHCSeqNet,WT_MHCSeqNet
224,0.042101324,0.31405765
225,0.035958856,0.13887006
226,0.74235517,0.92966783
227,0.99385595,0.9984262
228,0.18888408,0.11212498
229,5.7816505e-06,3.0070543e-05
230,0.98414046,0.98024
231,0.9997779,0.9999205
232,0.68719697,0.5893242
233,0.0005683899,0.000887692
234,0.9835627,0.9844973
235,0.9986564,0.9947805
236,0.12903234,0.07498148
237,0.21204552,0.16477221
238,0.92274255,0.88977355
239,0.99925673,0.998375
240,0.009346962,0.0029869974
241,0.99638814,0.9907448
242,0.96166766,0.8334882
243,0.99457437,0.9863225
244,0.29679704,0.38821605
245,0.07084662,0.07918075
246,0.84441775,0.82817644
247,0.99885464,0.99942553
248,0.010537833,0.008490652
249,0.005798787,0.18749285
250,0.8150755,0.679457
251,0.9732083,0.9351709
252,0.6060683,0.6626094
253,0.0005835593,0.0013569891
254,0.94514585,0.9299402
255,0.9639448,0.9760425
256,0.18750304,0.6552713
257,0.015226096,0.02898404
258,0.9387076,0.99518013
259,0.9996045,0.99757504
260,0.15964681,0.12666106
261,0.08004969,0.06660813
262,0.9207219,0.95595694
263,0.99805325,0.99386835
264,0.06462851,0.059097588
265,0.0042304695,0.001437515
266,0.7722328,0.95580626
267,0.98698175,0.9951441
268,0.06317049,0.046056688
269,0.008810341,0.0017097592
270,0.6415582,0.7595226
271,0.9961863,0.9975083
272,0.08016375,0.037252992
273,0.5510367,0.31380874
274,0.56762236,0.39233398
275,0.9944389,0.9965645
276,0.0053043664,0.0027879179
277,0.29007474,0.33982214
278,0.27021307,0.28205037
279,0.92629755,0.9603925
280,0.72161376,0.25354153
281,0.015269548,0.20800093
282,0.738552,0.5451865
283,0.9884951,0.9988072
284,0.16109908,0.045562
285,0.12856314,0.024285108
286,0.7710246,0.87615657
287,0.9579927,0.9459411
288,0.38732344,0.7096444
289,0.8659682,0.9944962
290,0.8790052,0.9220913
291,0.6953448,0.79717755
292,0.9893709,0.983034
293,0.91846883,0.9184234
294,0.946138,0.97253466
295,0.8662995,0.90828025
296,0.6427001,0.53446215
297,0.96947944,0.9818243
298,0.8421059,0.8137169
299,0.5959086,0.4888742
300,0.57768375,0.58227265
301,0.9464389,0.91682935
302,0.998084,0.9964644
303,0.57635504,0.5962823
304,0.9202805,0.9019022
305,0.51509005,0.48174715
306,0.74302655,0.85151136
307,0.9361247,0.98818076
308,0.86803055,0.9575569
309,0.65318555,0.7236546
310,0.9514357,0.9612708
311,0.9547733,0.9700059
312,0.66592526,0.653594
313,0.88170826,0.97263014
314,0.9927448,0.8501311
315,0.3020771,0.18181416
316,0.99065995,0.99628145
317,0.092340976,0.043087393
318,0.925379,0.9660258
319,0.751169,0.7382726
320,0.854234,0.926957
321,0.57702816,0.5492477
322,0.7541478,0.7668923
323,0.78410053,0.8904259
324,0.83758265,0.8456377
325,0.7899904,0.7025929
326,0.9346485,0.96877074
327,0.9645864,0.9726982
328,0.9346454,0.92774975
329,0.33009773,0.37943047
330,0.94571805,0.8028207
331,0.94526434,0.98585206
332,0.5682417,0.79540324
333,0.7070911,0.69449943
334,0.9772333,0.98371756
335,0.9300059,0.957113
336,0.6202491,0.45294946
337,0.9674877,0.988587
338,0.59062046,0.22661254
339,0.47803295,0.5380644
340,0.8782047,0.90194345
341,0.10724327,0.06524277
342,0.94164157,0.9253057
343,0.971177,0.95913553
344,0.99560595,0.99189657
345,0.876313,0.8472166
346,0.881979,0.8218352
347,0.99872863,0.9979333
348,0.98490775,0.9613677
349,0.74440074,0.72375464
350,0.9921569,0.96832615
351,0.200236,0.18689701
352,0.66220534,0.7865968
353,0.74894094,0.80925405
354,0.93009746,0.9351226
355,0.9956533,0.9982098
356,0.98864174,0.9958513
357,0.58608323,0.30328858
358,0.9909824,0.9902417
359,0.97660255,0.94405365
360,0.18247297,0.087390125
361,0.75606394,0.9251933
362,0.051591486,0.001897037
363,0.2655595,0.16475374
364,0.9804823,0.98017013
365,0.035292,0.033948302
366,0.024038464,0.09072769
367,0.7321557,0.8060576
368,0.29906923,0.46829647
369,0.0071359575,0.014859915
370,0.34330812,0.42692846
371,0.0075879693,0.017622143
372,0.28777122,0.32538432
373,0.76018536,0.7465016
374,0.4511263,0.5217597
375,0.06594294,0.16986835
376,0.69660825,0.7413144
377,0.14446703,0.17233023
378,0.40263262,0.5249888
379,0.72247905,0.7739836
380,0.8929429,0.8262565
381,0.48629308,0.5231616
382,0.6228663,0.67512524
383,0.90503144,0.9689286
384,0.88917005,0.8203937
385,0.9575149,0.97671807
386,0.84208035,0.868096
387,0.9777764,0.8094232
388,0.8942002,0.66758215
