bb_idx,MT_Seq2Neo,WT_Seq2Neo
965,0.859026,0.836935
966,0.721725,0.708803
967,0.817313,0.821588
968,0.925467,0.923989
969,0.890179,0.881399
970,0.974201,0.97258
971,0.968192,0.965757
972,0.634442,0.666234
973,0.802813,0.801284
974,0.928495,0.92506
975,0.885802,0.879805
976,0.969975,0.969101
977,0.963955,0.963566
978,0.191715,0.25678
979,0.558749,0.584454
980,0.803366,0.794905
981,0.666776,0.706672
982,0.909008,0.898894
983,0.904363,0.893307
984,0.165595,0.181638
985,0.578808,0.556028
986,0.7235,0.686238
987,0.511949,0.488505
988,0.888285,0.862121
989,0.881971,0.855016
990,0.273217,0.273045
991,0.767683,0.737109
992,0.883657,0.851276
993,0.823723,0.784244
994,0.964642,0.950995
995,0.956057,0.93939
996,0.252927,0.219647
997,0.767492,0.788707
998,0.867566,0.867034
999,0.813398,0.822384
1000,0.964198,0.96975
1001,0.955599,0.962938
1002,0.20042,0.179275
1003,0.706375,0.731258
1004,0.818465,0.833142
1005,0.754963,0.769006
1006,0.945233,0.955051
1007,0.939044,0.950429
1008,0.540202,0.717542
1009,0.704351,0.722004
1010,0.771954,0.809067
1011,0.762935,0.799059
1012,0.912876,0.90506
1013,0.898367,0.895107
1014,0.449448,0.60326
1015,0.681202,0.63886
1016,0.815752,0.738019
1017,0.786762,0.74449
1018,0.930699,0.877798
1019,0.921739,0.878449
1020,0.280765,0.525681
1021,0.538268,0.627146
1022,0.715682,0.74369
1023,0.637567,0.736324
1024,0.867916,0.862657
1025,0.855748,0.849086
1026,0.286819,0.38801
1027,0.604338,0.655263
1028,0.737273,0.748304
1029,0.647378,0.648506
1030,0.867077,0.867702
1031,0.84836,0.853661
1032,0.340974,0.541289
1033,0.644367,0.688763
1034,0.766293,0.794999
1035,0.708552,0.748798
1036,0.899458,0.915777
1037,0.887261,0.901568
1038,0.332903,0.487065
1039,0.56511,0.597702
1040,0.756974,0.775233
1041,0.725208,0.751271
1042,0.89254,0.887987
1043,0.881111,0.877673
1044,0.315557,0.563959
1045,0.610015,0.642193
1046,0.763806,0.810237
1047,0.706463,0.760982
1048,0.903522,0.912652
1049,0.899781,0.912283
1050,0.603072,0.687693
1051,0.734866,0.757929
1052,0.847875,0.860153
1053,0.838588,0.852153
1054,0.937417,0.942797
1055,0.938428,0.944667
1056,0.436734,0.526701
1057,0.606564,0.633173
1058,0.791733,0.840559
1059,0.727605,0.798226
1060,0.90205,0.926701
1061,0.892182,0.915224
1062,0.43343,0.588925
1063,0.620071,0.63887
1064,0.757329,0.77182
1065,0.730503,0.768694
1066,0.887087,0.883539
1067,0.873457,0.866049
