bb_idx,MT_ImmuneApp,WT_ImmuneApp
161,0.0008184015750885,9.864568710327148e-06
162,1.290440559387207e-05,2.9206275939941406e-06
163,0.056703507900238,1.4901161193847656e-06
164,0.0010124444961547,0.0080554485321044
165,1.5974044799804688e-05,1.1086463928222656e-05
166,0.0042743682861328,0.0001973211765289
167,1.2218952178955078e-06,8.311867713928223e-05
168,0.0906083881855011,0.0013508200645446
169,7.241964340209961e-06,0.003736525774002
170,2.2411346435546875e-05,0.0001089870929718
171,0.000230073928833,6.875395774841309e-05
172,0.0008083879947662,0.9999960660934448
173,0.0036846995353698,1.0
174,0.000619500875473,0.9997124671936036
175,0.000345766544342,1.0
176,0.0001164972782135,0.0004397928714752
177,6.735324859619141e-06,1.2069940567016602e-05
178,2.276897430419922e-05,8.642673492431641e-07
179,1.055002212524414e-05,2.5033950805664062e-05
180,1.2278556823730469e-05,0.0007409155368804
181,0.973029851913452,0.0005010664463043
182,0.4723197221755981,0.0001063346862792
183,0.8711584210395813,0.0008032917976379
184,0.7372902035713196,0.0632378756999969
185,4.824995994567871e-05,0.9999584555625916
186,0.9948429465293884,0.1287895143032074
187,3.546476364135742e-06,3.2186508178710938e-06
188,3.248453140258789e-06,0.0001211166381835
189,0.0002098977565765,9.989738464355467e-05
190,0.9999991655349731,0.2225631177425384
191,0.0003905892372131,0.0136780440807342
192,1.4066696166992188e-05,2.1785497665405277e-05
193,0.0002908408641815,0.0610599517822265
194,4.947185516357422e-06,4.202127456665039e-06
195,6.705522537231445e-06,6.020069122314453e-06
196,1.996755599975586e-05,0.000246524810791
197,7.599592208862305e-06,1.564621925354004e-05
198,2.92658805847168e-05,0.0065444111824035
199,0.1995888352394104,0.0119604170322418
200,3.9517879486083984e-05,0.0006189048290252
201,5.632638931274414e-06,3.3915042877197266e-05
202,0.0001066029071807,8.45491886138916e-05
203,4.476308822631836e-05,0.0003465414047241
204,2.330541610717773e-05,8.046627044677734e-06
205,0.0010140836238861,7.769465446472168e-05
206,0.000649094581604,3.454089164733887e-05
207,6.404519081115723e-05,1.1026859283447266e-06
208,0.0003908574581146,0.0003783106803894
209,0.000286042690277,0.0002670586109161
210,7.152557373046875e-07,3.278255462646485e-07
211,2.980232238769531e-07,9.238719940185548e-07
212,6.794929504394531e-06,1.4901161193847656e-05
213,1.8805265426635746e-05,2.2232532501220703e-05
214,3.606081008911133e-06,8.106231689453125e-06
215,2.384185791015625e-07,6.258487701416016e-07
216,0.0026262402534484,0.0004997253417968
217,2.4139881134033203e-06,2.115964889526367e-06
218,4.649162292480469e-06,0.0004254877567291
219,0.0003117322921752,1.6391277313232422e-06
220,2.5510787963867188e-05,9.387731552124023e-06
