bb_idx,MT_TSCAPE,WT_TSCAPE
971,0.093741,0.117372
972,0.054077,0.068021
973,0.080751,0.107011
974,0.028795,0.03655
975,0.151853,0.201061
976,0.031573,0.038383
977,0.043122,0.046559
978,0.078555,0.099504
979,0.164088,0.197424
980,0.049221,0.051965
981,0.168867,0.20455
982,0.049391,0.0596
983,0.057421,0.073857
984,0.111691,0.110792
985,0.145897,0.140415
986,0.083304,0.088339
987,0.300404,0.298018
988,0.063565,0.061542
989,0.082271,0.076928
990,0.158732,0.165714
991,0.283929,0.283652
992,0.156995,0.126944
993,0.384844,0.374715
994,0.111072,0.104997
995,0.131552,0.133804
996,0.127991,0.176099
997,0.199295,0.294348
998,0.142563,0.159072
999,0.285674,0.350255
1000,0.070797,0.097566
1001,0.105197,0.132928
1002,0.062054,0.063324
1003,0.109471,0.116461
1004,0.03037,0.033574
1005,0.130247,0.151685
1006,0.03269,0.034865
1007,0.040707,0.047955
1008,0.167774,0.127039
1009,0.166093,0.13977
1010,0.14537,0.125712
1011,0.360683,0.296995
1012,0.073394,0.062225
1013,0.108053,0.082521
1014,0.243515,0.206585
1015,0.302448,0.271411
1016,0.12546,0.134503
1017,0.426539,0.396783
1018,0.11407,0.10239
1019,0.152918,0.146374
1020,0.11381,0.112206
1021,0.225862,0.213351
1022,0.107874,0.113832
1023,0.327032,0.310179
1024,0.081019,0.081625
1025,0.118735,0.103845
1026,0.066546,0.060519
1027,0.112293,0.090711
1028,0.057467,0.055482
1029,0.238235,0.216223
1030,0.04546,0.041996
1031,0.079037,0.071448
1032,0.119695,0.075148
1033,0.182616,0.122649
1034,0.115644,0.082127
1035,0.234767,0.166029
1036,0.068116,0.050416
1037,0.086106,0.056787
1038,0.13529,0.135233
1039,0.209006,0.201585
1040,0.142194,0.139563
1041,0.293348,0.270131
1042,0.076155,0.078677
1043,0.104452,0.110445
1044,0.063281,0.049095
1045,0.085413,0.069503
1046,0.057239,0.055598
1047,0.180209,0.133923
1048,0.042006,0.033715
1049,0.051533,0.044382
1050,0.109633,0.094376
1051,0.248405,0.224428
1052,0.144252,0.15885
1053,0.339527,0.31785
1054,0.100859,0.092288
1055,0.129223,0.12921
1056,0.122625,0.10615
1057,0.270001,0.218237
1058,0.107647,0.091708
1059,0.252178,0.208477
1060,0.071859,0.064561
1061,0.102253,0.081965
1062,0.116592,0.114753
1063,0.180207,0.171284
1064,0.070815,0.066544
1065,0.31079,0.304994
1066,0.062803,0.063412
1067,0.069384,0.076538
1068,0.08499,0.075845
1069,0.137993,0.093299
1070,0.098345,0.098207
1071,0.199418,0.155098
1072,0.055526,0.048105
1073,0.072234,0.061893
1074,0.139913,0.087166
1075,0.251989,0.18101
1076,0.080838,0.059672
1077,0.330781,0.231473
1078,0.08327,0.061502
1079,0.093875,0.069266
1080,0.096778,0.125334
1081,0.159333,0.202406
1082,0.070777,0.092381
1083,0.271061,0.293259
1084,0.056864,0.065513
1085,0.069453,0.086048
1086,0.067656,0.046777
1087,0.141418,0.101135
1088,0.054505,0.040724
1089,0.196212,0.167451
1090,0.04442,0.038261
1091,0.067544,0.053301
1092,0.105815,0.089855
1093,0.148194,0.112542
1094,0.119035,0.137072
1095,0.207003,0.195151
1096,0.06786,0.048929
1097,0.097133,0.093134
1098,0.049906,0.062299
1099,0.056286,0.06009
1100,0.037689,0.037629
1101,0.131416,0.140742
1102,0.02973,0.03029
1103,0.042905,0.040123
1104,0.124602,0.054944
1105,0.222765,0.117581
1106,0.091422,0.046719
1107,0.146476,0.153721
1108,0.050991,0.059599
1109,0.074729,0.072885
1110,0.082655,0.099253
1111,0.085337,0.140198
1112,0.068795,0.103794
1113,0.157008,0.104205
1114,0.111144,0.064883
1115,0.102007,0.076533
1116,0.176137,0.114938
1117,0.133628,0.109784
1118,0.106174,0.094057
1119,0.222314,0.144493
1120,0.087826,0.078097
1121,0.078391,0.071595
1122,0.067165,0.078151
1123,0.045442,0.054712
1124,0.04565,0.048547
1125,0.155261,0.219983
1126,0.06265,0.09582
1127,0.069053,0.115738
1128,0.099576,0.079416
1129,0.112076,0.083315
1130,0.106273,0.081378
1131,0.062523,0.066809
1132,0.043534,0.046352
1133,0.041488,0.046205
1134,0.227251,0.211139
1135,0.272861,0.259755
1136,0.141927,0.135468
1137,0.095499,0.11378
1138,0.043235,0.058512
1139,0.045005,0.063119
1140,0.06332,0.044218
1141,0.060689,0.043497
1142,0.055903,0.036675
