bb_idx,MT_ICERFIRE
1072,0.281995
1073,0.281995
1074,0.194176
1075,0.21839
1076,0.234903
1077,0.244606
1078,0.274611
1079,0.274611
1080,0.200987
1081,0.185988
1082,0.209232
1083,0.221537
1084,0.209232
1085,0.209232
1086,0.176496
1087,0.134459
1088,0.227523
1089,0.226413
1090,0.175317
1091,0.175317
1092,0.171014
1093,0.113815
1094,0.177218
1095,0.172171
1096,0.133335
1097,0.133335
1098,0.204968
1099,0.133925
1100,0.203179
1101,0.204121
1102,0.134589
1103,0.134589
1104,0.090826
1105,0.138238
1106,0.132861
1107,0.104461
1108,0.106255
1109,0.099905
1110,0.139812
1111,0.168297
1112,0.115143
1113,0.138765
1114,0.12714
1115,0.136521
1116,0.159172
1117,0.138361
1118,0.140324
1119,0.161668
1120,0.15436
1121,0.176669
1122,0.122093
1123,0.133892
1124,0.164894
1125,0.185459
1126,0.167897
1127,0.175155
1128,0.112527
1129,0.161515
1130,0.077167
1131,0.115495
1132,0.109642
1133,0.10189
1134,0.214803
1135,0.164636
1136,0.151413
1137,0.17876
1138,0.152766
1139,0.200522
1140,0.148606
1141,0.137771
1142,0.188921
1143,0.146709
1144,0.161576
1145,0.177611
1146,0.150482
1147,0.22403
1148,0.160203
1149,0.193181
1150,0.194347
1151,0.174899
1152,0.165031
1153,0.19352
1154,0.180349
1155,0.14487
1156,0.189916
1157,0.190111
1158,0.174858
1159,0.185919
1160,0.140993
1161,0.152038
1162,0.128048
1163,0.118712
1164,0.138616
1165,0.121146
1166,0.122897
1167,0.123827
1168,0.16939
1169,0.138989
1170,0.10209
1171,0.117236
1172,0.113102
1173,0.270562
1174,0.206111
1175,0.173959
1176,0.090424
1177,0.117131
1178,0.11868
1179,0.106961
1180,0.09319
1181,0.090291
1182,0.133256
1183,0.16035
1184,0.100072
1185,0.096927
1186,0.082454
1187,0.104072
1188,0.157716
1189,0.120218
1190,0.128699
1191,0.139773
1192,0.141761
1193,0.141692
1194,0.158725
1195,0.120522
1196,0.186609
1197,0.195289
1198,0.190122
1199,0.184231
1200,0.090826
1201,0.138238
1202,0.132861
1203,0.104461
1204,0.106255
1205,0.099905
1206,0.139812
1207,0.168297
1208,0.115143
1209,0.138765
1210,0.12714
1211,0.136521
1212,0.159172
1213,0.138361
1214,0.140324
1215,0.161668
1216,0.15436
1217,0.176669
1218,0.122093
1219,0.133892
1220,0.164894
1221,0.185459
1222,0.167897
1223,0.175155
1224,0.237329
1225,0.265017
1226,0.186185
1227,0.187373
1228,0.227309
1229,0.187988
1230,0.215257
1231,0.188717
1232,0.20987
1233,0.301539
1234,0.323497
1235,0.255665
1236,0.205129
1237,0.229627
1238,0.260363
1239,0.287564
1240,0.264961
1241,0.260979
1242,0.28196
1243,0.291121
1244,0.282679
1245,0.298115
1246,0.213704
1247,0.307557
1248,0.230878
1249,0.204966
1250,0.184042
1251,0.210351
1252,0.19463
1253,0.177241
1254,0.184394
1255,0.179238
1256,0.19012
1257,0.164187
1258,0.181515
1259,0.18485
1260,0.188438
1261,0.189652
1262,0.164282
1263,0.176787
1264,0.179519
1265,0.167692
1266,0.163133
1267,0.142264
1268,0.164232
1269,0.128523
1270,0.116402
1271,0.135391
1272,0.181941
1273,0.19644
1274,0.189268
1275,0.163372
1276,0.128591
1277,0.152559
1278,0.198824
1279,0.234391
1280,0.182938
1281,0.132447
1282,0.171856
1283,0.17104
1284,0.20303
1285,0.203614
1286,0.157437
1287,0.203314
1288,0.202756
1289,0.142009
1290,0.161006
1291,0.140656
1292,0.161483
1293,0.166517
1294,0.15612
1295,0.166551
1296,0.123166
1297,0.131751
1298,0.166175
1299,0.174669
1300,0.159977
1301,0.168873
1302,0.154031
1303,0.171097
1304,0.171097
1305,0.154848
1306,0.16736
1307,0.177745
1308,0.171771
1309,0.178619
1310,0.169756
1311,0.20874
1312,0.203974
1313,0.20874
1314,0.207325
1315,0.207851
1316,0.212868
1317,0.208933
1318,0.177389
1319,0.224448
1320,0.165031
1321,0.19352
