baseline,method,threshold,cost_ratio_r,c_biopsy_anchor,c_miss_anchor_usd,exp_cost_normalized,treat_all_cost,treat_none_cost,net_benefit,prevalence
A,EfficientNet-B3,0.99,50.0,58.4,259447.0,7.133333,1.0,10.0,-7.2,0.2
A,EfficientNet-B3,0.01,60.02,58.4,259447.0,1.293485,1.0,12.004549,0.186263,0.2
A,EfficientNet-B3,0.0149,60.02,58.4,259447.0,1.280152,1.0,12.004549,0.182912,0.2
A,EfficientNet-B3,0.0199,60.02,58.4,259447.0,1.250152,1.0,12.004549,0.180001,0.2
A,EfficientNet-B3,0.0248,60.02,58.4,259447.0,1.233485,1.0,12.004549,0.177025,0.2
A,EfficientNet-B3,0.0298,60.02,58.4,259447.0,1.226818,1.0,12.004549,0.173882,0.2
A,EfficientNet-B3,0.0347,60.02,58.4,259447.0,1.213485,1.0,12.004549,0.171014,0.2
A,EfficientNet-B3,0.0397,60.02,58.4,259447.0,1.203485,1.0,12.004549,0.168117,0.2
A,EfficientNet-B3,0.0446,60.02,58.4,259447.0,1.186818,1.0,12.004549,0.165605,0.2
A,EfficientNet-B3,0.0496,60.02,58.4,259447.0,1.180152,1.0,12.004549,0.162719,0.2
A,EfficientNet-B3,0.0545,60.02,58.4,259447.0,1.180152,1.0,12.004549,0.159487,0.2
A,EfficientNet-B3,0.0595,60.02,58.4,259447.0,1.170152,1.0,12.004549,0.156854,0.2
A,EfficientNet-B3,0.0644,60.02,58.4,259447.0,1.170152,1.0,12.004549,0.15361,0.2
A,EfficientNet-B3,0.0694,60.02,58.4,259447.0,1.163485,1.0,12.004549,0.150829,0.2
A,EfficientNet-B3,0.0743,60.02,58.4,259447.0,1.160152,1.0,12.004549,0.147822,0.2
A,EfficientNet-B3,0.0793,60.02,58.4,259447.0,1.353561,1.0,12.004549,0.141485,0.2
A,EfficientNet-B3,0.0842,60.02,58.4,259447.0,1.343561,1.0,12.004549,0.139098,0.2
A,EfficientNet-B3,0.0892,60.02,58.4,259447.0,1.540303,1.0,12.004549,0.132481,0.2
A,EfficientNet-B3,0.0941,60.02,58.4,259447.0,1.540303,1.0,12.004549,0.129161,0.2
A,EfficientNet-B3,0.0991,60.02,58.4,259447.0,1.540303,1.0,12.004549,0.125806,0.2
A,EfficientNet-B3,0.104,60.02,58.4,259447.0,1.53697,1.0,12.004549,0.1228,0.2
A,EfficientNet-B3,0.109,60.02,58.4,259447.0,1.530303,1.0,12.004549,0.120205,0.2
A,EfficientNet-B3,0.1139,60.02,58.4,259447.0,1.723712,1.0,12.004549,0.113894,0.2
A,EfficientNet-B3,0.1189,60.02,58.4,259447.0,1.723712,1.0,12.004549,0.110471,0.2
A,EfficientNet-B3,0.1238,60.02,58.4,259447.0,1.717046,1.0,12.004549,0.107951,0.2
A,EfficientNet-B3,0.1288,60.02,58.4,259447.0,1.713712,1.0,12.004549,0.104986,0.2
A,EfficientNet-B3,0.1337,60.02,58.4,259447.0,1.710379,1.0,12.004549,0.102024,0.2
A,EfficientNet-B3,0.1387,60.02,58.4,259447.0,1.710379,1.0,12.004549,0.098531,0.2
A,EfficientNet-B3,0.1436,60.02,58.4,259447.0,1.707046,1.0,12.004549,0.095556,0.2
A,EfficientNet-B3,0.1486,60.02,58.4,259447.0,1.903788,1.0,12.004549,0.08867,0.2
A,EfficientNet-B3,0.1535,60.02,58.4,259447.0,1.900455,1.0,12.004549,0.08568,0.2
A,EfficientNet-B3,0.1585,60.02,58.4,259447.0,2.093864,1.0,12.004549,0.079361,0.2
A,EfficientNet-B3,0.1634,60.02,58.4,259447.0,2.287273,1.0,12.004549,0.073047,0.2
A,EfficientNet-B3,0.1684,60.02,58.4,259447.0,2.287273,1.0,12.004549,0.069395,0.2
A,EfficientNet-B3,0.1733,60.02,58.4,259447.0,2.28394,1.0,12.004549,0.066398,0.2
A,EfficientNet-B3,0.1783,60.02,58.4,259447.0,2.28394,1.0,12.004549,0.062682,0.2
A,EfficientNet-B3,0.1832,60.02,58.4,259447.0,2.28394,1.0,12.004549,0.058921,0.2
A,EfficientNet-B3,0.1882,60.02,58.4,259447.0,2.277273,1.0,12.004549,0.056659,0.2
A,EfficientNet-B3,0.1931,60.02,58.4,259447.0,2.277273,1.0,12.004549,0.052856,0.2
A,EfficientNet-B3,0.1981,60.02,58.4,259447.0,2.277273,1.0,12.004549,0.049006,0.2
A,EfficientNet-B3,0.203,60.02,58.4,259447.0,2.277273,1.0,12.004549,0.045108,0.2
A,EfficientNet-B3,0.208,60.02,58.4,259447.0,2.27394,1.0,12.004549,0.042036,0.2
A,EfficientNet-B3,0.2129,60.02,58.4,259447.0,2.26394,1.0,12.004549,0.040772,0.2
A,EfficientNet-B3,0.2179,60.02,58.4,259447.0,2.457349,1.0,12.004549,0.034427,0.2
A,EfficientNet-B3,0.2228,60.02,58.4,259447.0,2.457349,1.0,12.004549,0.030464,0.2
A,EfficientNet-B3,0.2278,60.02,58.4,259447.0,2.454016,1.0,12.004549,0.027434,0.2
A,EfficientNet-B3,0.2327,60.02,58.4,259447.0,2.454016,1.0,12.004549,0.023397,0.2
A,EfficientNet-B3,0.2377,60.02,58.4,259447.0,2.454016,1.0,12.004549,0.019307,0.2
A,EfficientNet-B3,0.2426,60.02,58.4,259447.0,2.454016,1.0,12.004549,0.015163,0.2
A,EfficientNet-B3,0.2476,60.02,58.4,259447.0,2.440682,1.0,12.004549,0.015352,0.2
A,EfficientNet-B3,0.2525,60.02,58.4,259447.0,2.440682,1.0,12.004549,0.011216,0.2
A,EfficientNet-B3,0.2575,60.02,58.4,259447.0,2.430682,1.0,12.004549,0.010492,0.2
A,EfficientNet-B3,0.2624,60.02,58.4,259447.0,2.430682,1.0,12.004549,0.006335,0.2
A,EfficientNet-B3,0.2674,60.02,58.4,259447.0,2.627425,1.0,12.004549,-0.001211,0.2
A,EfficientNet-B3,0.2723,60.02,58.4,259447.0,2.627425,1.0,12.004549,-0.005482,0.2
A,EfficientNet-B3,0.2773,60.02,58.4,259447.0,2.624092,1.0,12.004549,-0.008532,0.2
A,EfficientNet-B3,0.2822,60.02,58.4,259447.0,2.620758,1.0,12.004549,-0.011579,0.2
A,EfficientNet-B3,0.2872,60.02,58.4,259447.0,2.617425,1.0,12.004549,-0.014621,0.2
A,EfficientNet-B3,0.2921,60.02,58.4,259447.0,2.617425,1.0,12.004549,-0.019035,0.2
A,EfficientNet-B3,0.2971,60.02,58.4,259447.0,2.617425,1.0,12.004549,-0.023512,0.2
A,EfficientNet-B3,0.302,60.02,58.4,259447.0,2.617425,1.0,12.004549,-0.028051,0.2
