Tool,Aggregation,Threshold,fpr,tpr,auc
IMPROVE,mean,>0,0.18181818181818182,0.13333333333333333,0.6182
IMPROVE,mean,>0,0.18181818181818182,0.45555555555555555,0.6182
IMPROVE,mean,>0,0.2727272727272727,0.45555555555555555,0.6182
IMPROVE,mean,>0,0.2727272727272727,0.6,0.6182
IMPROVE,mean,>0,0.36363636363636365,0.6,0.6182
IMPROVE,mean,>0,0.36363636363636365,0.7,0.6182
IMPROVE,mean,>0,0.45454545454545453,0.7,0.6182
IMPROVE,mean,>0,0.45454545454545453,0.7555555555555555,0.6182
IMPROVE,mean,>0,0.6363636363636364,0.7555555555555555,0.6182
IMPROVE,mean,>0,0.6363636363636364,0.7777777777777778,0.6182
IMPROVE,mean,>0,0.7272727272727273,0.7777777777777778,0.6182
IMPROVE,mean,>0,0.7272727272727273,0.8222222222222222,0.6182
IMPROVE,mean,>0,0.8181818181818182,0.8222222222222222,0.6182
IMPROVE,mean,>0,0.8181818181818182,0.8666666666666667,0.6182
IMPROVE,mean,>0,0.9090909090909091,0.8666666666666667,0.6182
IMPROVE,mean,>0,0.9090909090909091,0.9,0.6182
IMPROVE,mean,>0,1.0,0.9,0.6182
IMPROVE,mean,>0,1.0,1.0,0.6182
IMPROVE,mean,>10,0.0,0.0,0.6149
IMPROVE,mean,>10,0.0,0.015625,0.6149
IMPROVE,mean,>10,0.0,0.046875,0.6149
IMPROVE,mean,>10,0.02702702702702703,0.046875,0.6149
IMPROVE,mean,>10,0.02702702702702703,0.109375,0.6149
IMPROVE,mean,>10,0.05405405405405406,0.109375,0.6149
IMPROVE,mean,>10,0.05405405405405406,0.171875,0.6149
IMPROVE,mean,>10,0.08108108108108109,0.171875,0.6149
IMPROVE,mean,>10,0.08108108108108109,0.234375,0.6149
IMPROVE,mean,>10,0.13513513513513514,0.234375,0.6149
IMPROVE,mean,>10,0.13513513513513514,0.25,0.6149
IMPROVE,mean,>10,0.16216216216216217,0.25,0.6149
IMPROVE,mean,>10,0.16216216216216217,0.28125,0.6149
IMPROVE,mean,>10,0.21621621621621623,0.28125,0.6149
IMPROVE,mean,>10,0.21621621621621623,0.296875,0.6149
IMPROVE,mean,>10,0.24324324324324326,0.296875,0.6149
IMPROVE,mean,>10,0.24324324324324326,0.359375,0.6149
IMPROVE,mean,>10,0.2702702702702703,0.359375,0.6149
IMPROVE,mean,>10,0.2702702702702703,0.375,0.6149
IMPROVE,mean,>10,0.32432432432432434,0.375,0.6149
IMPROVE,mean,>10,0.32432432432432434,0.40625,0.6149
IMPROVE,mean,>10,0.35135135135135137,0.40625,0.6149
IMPROVE,mean,>10,0.35135135135135137,0.46875,0.6149
IMPROVE,mean,>10,0.3783783783783784,0.46875,0.6149
IMPROVE,mean,>10,0.3783783783783784,0.53125,0.6149
IMPROVE,mean,>10,0.40540540540540543,0.53125,0.6149
IMPROVE,mean,>10,0.40540540540540543,0.65625,0.6149
IMPROVE,mean,>10,0.43243243243243246,0.65625,0.6149
IMPROVE,mean,>10,0.43243243243243246,0.671875,0.6149
IMPROVE,mean,>10,0.4594594594594595,0.671875,0.6149
IMPROVE,mean,>10,0.4594594594594595,0.703125,0.6149
IMPROVE,mean,>10,0.4864864864864865,0.703125,0.6149
IMPROVE,mean,>10,0.4864864864864865,0.71875,0.6149
IMPROVE,mean,>10,0.5405405405405406,0.71875,0.6149
IMPROVE,mean,>10,0.5405405405405406,0.734375,0.6149
IMPROVE,mean,>10,0.5675675675675675,0.734375,0.6149
IMPROVE,mean,>10,0.5675675675675675,0.8125,0.6149
IMPROVE,mean,>10,0.7027027027027027,0.8125,0.6149
IMPROVE,mean,>10,0.7027027027027027,0.859375,0.6149
IMPROVE,mean,>10,0.7837837837837838,0.859375,0.6149
IMPROVE,mean,>10,0.7837837837837838,0.875,0.6149
IMPROVE,mean,>10,0.8108108108108109,0.875,0.6149
IMPROVE,mean,>10,0.8108108108108109,0.890625,0.6149
IMPROVE,mean,>10,0.8648648648648649,0.890625,0.6149
IMPROVE,mean,>10,0.8648648648648649,0.921875,0.6149
