# robustness_subsample_results.csv
# QuantImmuBench §3.3.4 图 3: 病人内随机删突变子采样鲁棒性 (长表)
# 主分析集 DS2 病人=[101, 102, 104, 105, 106, 107, 108, 109, 110]; 维度集=7 维 ['MT_PredIG', 'MT_IMPROVE_mean_prediction_rf', 'MT_pTuneos', 'MT_PRIME', 'MT_ImmuneApp', 'MT_deepHLApan', 'pool_netAffneg_top20']
# kind=fusion(12 法)/single(单工具对照=各维列); drop_frac=删除比例(0=满数据)
# seed=-1 表 0% 满数据确定性对照; 子采样 seed=0..29; fisherz_rho=DS2 per-patient Fisher-z 加权 rho
# 病人内随机删, 保每病人>=min_pep; 只删整行不碰标签
method,kind,drop_frac,seed,fisherz_rho,n_pat
weighted_mean_rank,fusion,0.1,19,0.3697422086167363,9
softmax_rank,fusion,0.1,19,0.2858586850023551,9
stacking,fusion,0.1,19,0.20960540698528135,9
constrained,fusion,0.1,19,0.20524917601868492,9
ridge,fusion,0.1,19,0.22955336056409661,9
gbdt,fusion,0.1,19,0.09648133767224382,9
MT_PredIG,single,0.1,19,0.2202816489001173,9
MT_IMPROVE_mean_prediction_rf,single,0.1,19,0.250019709545825,9
MT_pTuneos,single,0.1,19,0.2031498870033101,9
MT_PRIME,single,0.1,19,0.29141156692497905,9
MT_ImmuneApp,single,0.1,19,0.20207279392564811,9
MT_deepHLApan,single,0.1,19,0.24687162014501438,9
pool_netAffneg_top20,single,0.1,19,0.20015836409232574,9
mean_rank,fusion,0.1,20,0.29738277465580315,9
geomean,fusion,0.1,20,0.3189085150169632,9
median,fusion,0.1,20,0.32314460806580153,9
powmean,fusion,0.1,20,0.2951894757408462,9
max,fusion,0.1,20,0.21693848799733442,9
min,fusion,0.1,20,0.17675770612402986,9
weighted_mean_rank,fusion,0.1,20,0.2918830440018437,9
softmax_rank,fusion,0.1,20,0.19883139962733232,9
stacking,fusion,0.1,20,0.18804070858873648,9
constrained,fusion,0.1,20,0.16139557408785998,9
ridge,fusion,0.1,20,0.18783851533569507,9
gbdt,fusion,0.1,20,0.09030329477541044,9
MT_PredIG,single,0.1,20,0.18119785638616456,9
MT_IMPROVE_mean_prediction_rf,single,0.1,20,0.2420364467235954,9
MT_pTuneos,single,0.1,20,0.1704429382215455,9
MT_PRIME,single,0.1,20,0.23385463483567914,9
MT_ImmuneApp,single,0.1,20,0.15731249927324445,9
MT_deepHLApan,single,0.1,20,0.271212095093537,9
pool_netAffneg_top20,single,0.1,20,0.20416808112062243,9
mean_rank,fusion,0.1,21,0.2774554120099994,9
geomean,fusion,0.1,21,0.2663858101039953,9
median,fusion,0.1,21,0.2984261599913299,9
powmean,fusion,0.1,21,0.2510914839166077,9
max,fusion,0.1,21,0.18769591013800344,9
min,fusion,0.1,21,0.11115685505814102,9
weighted_mean_rank,fusion,0.1,21,0.26549734520853135,9
softmax_rank,fusion,0.1,21,0.1556882166677298,9
stacking,fusion,0.1,21,0.10323727413878628,9
constrained,fusion,0.1,21,0.1741668450006137,9
ridge,fusion,0.1,21,0.15165236272859764,9
gbdt,fusion,0.1,21,-0.018165523225947954,9
MT_PredIG,single,0.1,21,0.17977059484317473,9
MT_IMPROVE_mean_prediction_rf,single,0.1,21,0.1932853673088615,9
MT_pTuneos,single,0.1,21,0.1598038470872608,9
MT_PRIME,single,0.1,21,0.21014394448664053,9
MT_ImmuneApp,single,0.1,21,0.1623888357681453,9
MT_deepHLApan,single,0.1,21,0.19828504822370546,9
pool_netAffneg_top20,single,0.1,21,0.15946432365053273,9
mean_rank,fusion,0.1,22,0.38126799900509667,9
geomean,fusion,0.1,22,0.3774201128476318,9
median,fusion,0.1,22,0.39716636933550487,9
powmean,fusion,0.1,22,0.3901008714850631,9
max,fusion,0.1,22,0.32656647172292613,9
min,fusion,0.1,22,0.2706845341667089,9
weighted_mean_rank,fusion,0.1,22,0.38555072963336734,9
softmax_rank,fusion,0.1,22,0.3230063935828593,9
stacking,fusion,0.1,22,0.24686843271979567,9
constrained,fusion,0.1,22,0.2801320667182332,9
