tau,coverage,risk,n_kept,melanoma_miss_rate,method,key
0.004860668182373047,0.28,0.5714285714285714,14,0.4,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004933479428291321,0.3,0.6,15,0.4,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004965752363204956,0.3,0.6,15,0.4,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004987096786499024,0.32,0.625,16,0.4,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.004991185665130615,0.32,0.625,16,0.4,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005018620491027833,0.34,0.5882352941176471,17,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0050900006294250484,0.34,0.5882352941176471,17,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005145439505577071,0.36,0.6111111111111112,18,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005164744853973318,0.36,0.6111111111111112,18,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005217407941818155,0.38,0.631578947368421,19,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005362446308136013,0.38,0.631578947368421,19,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005477836132049659,0.4,0.65,20,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005490803718566939,0.4,0.65,20,0.3,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00550597608089447,0.42,0.6190476190476191,21,0.2,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00553094744682312,0.42,0.6190476190476191,21,0.2,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0055721825361251835,0.44,0.5909090909090909,22,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005710999965667724,0.44,0.5909090909090909,22,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005844789743423467,0.46,0.6086956521739131,23,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.005934336185455383,0.46,0.6086956521739131,23,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00602089107036601,0.48,0.625,24,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00606157541275024,0.48,0.625,24,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006102018952369579,0.5,0.64,25,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006130903959274181,0.5,0.64,25,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006159788966178783,0.5,0.64,25,0.1,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006175599098205508,0.52,0.6153846153846154,26,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006191136837005612,0.52,0.6153846153846154,26,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.00621191143989563,0.54,0.6296296296296297,27,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006233027577400208,0.54,0.6296296296296297,27,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006333739757537842,0.56,0.6428571428571429,28,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006443496942520141,0.56,0.6428571428571429,28,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006508868932724046,0.58,0.6551724137931034,29,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006566843390464884,0.58,0.6551724137931034,29,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006731152534484885,0.6,0.6666666666666666,30,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006919386982917699,0.6,0.6666666666666666,30,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.006963342428207371,0.62,0.6774193548387096,31,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0069655328989029755,0.62,0.6774193548387096,31,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.007560791969299386,0.64,0.6875,32,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.008370214700698871,0.64,0.6875,32,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.008689635992050172,0.66,0.696969696969697,33,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.008792880177497865,0.66,0.696969696969697,33,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.008862135410308803,0.68,0.7058823529411765,34,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.008913334012031465,0.68,0.7058823529411765,34,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.009062486886978038,0.7,0.7142857142857143,35,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.009273677468299754,0.7,0.7142857142857143,35,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.009586405754089245,0.72,0.7222222222222222,36,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.009975287318229562,0.72,0.7222222222222222,36,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.010773465633392248,0.74,0.7297297297297297,37,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.011933714151382419,0.74,0.7297297297297297,37,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.012906851768493682,0.76,0.7368421052631579,38,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.013685082197189419,0.76,0.7368421052631579,38,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.01594448089599617,0.78,0.7435897435897436,39,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.020021677017211952,0.78,0.7435897435897436,39,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.023409569263458267,0.8,0.75,40,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.025797970890998865,0.8,0.75,40,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.030094949975609776,0.82,0.7560975609756098,41,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.03767892356961957,0.82,0.7560975609756098,41,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.04385997369885441,0.84,0.7380952380952381,42,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.04714749418199054,0.84,0.7380952380952381,42,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
0.0499063377827405,0.86,0.7209302325581395,43,0.0,"MC-Dropout (T=30, mean-conf proxy)",mcdropout
