sev,target,qbar_route,correct_deg,correct_enh,qband
mild,0,0.5973818898200989,1,1,high
mild,0,0.516574501991272,1,1,mid
mild,0,0.5017549991607666,1,1,mid
mild,0,0.5234178900718689,1,1,mid
mild,0,0.589126467704773,1,1,high
mild,0,0.5345024466514587,0,1,mid
mild,0,0.6141576766967773,1,1,high
mild,0,0.5160171389579773,1,1,mid
mild,0,0.5920265316963196,1,1,high
mild,0,0.5355411767959595,0,0,mid
mild,0,0.6311578154563904,1,1,high
mild,0,0.7138915061950684,1,1,high
mild,0,0.4988364279270172,1,1,mid
mild,0,0.6181128025054932,1,1,high
mild,0,0.6232443451881409,0,0,high
mild,0,0.48634013533592224,1,1,low
mild,0,0.5109421610832214,1,1,mid
mild,0,0.5976282358169556,1,1,high
mild,0,0.5924444198608398,1,1,high
mild,0,0.5963096618652344,1,1,high
mild,0,0.5109549760818481,1,1,mid
mild,0,0.4916872978210449,0,1,low
mild,0,0.732543408870697,1,1,high
mild,0,0.5074997544288635,1,1,mid
mild,0,0.5289899110794067,1,1,mid
mild,0,0.5169169902801514,1,1,mid
mild,0,0.46376940608024597,0,1,low
mild,0,0.5063767433166504,1,1,mid
mild,0,0.5045724511146545,1,1,mid
mild,0,0.5129641890525818,1,1,mid
mild,0,0.5920171141624451,1,1,high
mild,0,0.5570523142814636,0,1,high
mild,0,0.497514009475708,1,1,mid
mild,0,0.5358539819717407,1,1,mid
mild,0,0.519610583782196,0,0,mid
mild,0,0.5660980343818665,0,0,high
mild,0,0.5964647531509399,1,1,high
mild,0,0.6568800210952759,0,0,high
mild,0,0.4921385943889618,1,1,low
mild,0,0.5489593744277954,1,1,high
mild,0,0.6696768999099731,1,1,high
mild,0,0.5294987559318542,0,1,mid
mild,0,0.4999733865261078,1,1,mid
mild,0,0.6189314723014832,1,1,high
mild,0,0.5084638595581055,1,1,mid
mild,0,0.6384456753730774,1,1,high
mild,0,0.6387680172920227,1,1,high
mild,0,0.4203053116798401,1,1,low
mild,0,0.49221888184547424,1,1,low
mild,0,0.5478777289390564,1,1,high
mild,0,0.576651394367218,1,1,high
mild,0,0.6261076331138611,1,1,high
mild,0,0.535911500453949,1,1,mid
mild,0,0.46303844451904297,1,1,low
mild,0,0.5946857333183289,0,1,high
mild,0,0.4907301366329193,1,1,low
mild,0,0.571732223033905,1,1,high
mild,0,0.4169776141643524,1,1,low
mild,0,0.5716416239738464,1,1,high
mild,0,0.46528753638267517,1,1,low
mild,0,0.5221267938613892,1,1,mid
mild,0,0.6123382449150085,0,1,high
mild,0,0.500851571559906,0,1,mid
mild,0,0.5729166865348816,1,1,high
mild,0,0.5106189846992493,1,1,mid
mild,0,0.5098572969436646,1,1,mid
mild,0,0.49045583605766296,1,1,low
mild,0,0.5405473113059998,1,1,mid
mild,0,0.5051572322845459,1,1,mid
mild,0,0.5306187868118286,1,1,mid
mild,0,0.5325407385826111,1,1,mid
mild,0,0.5297334790229797,1,1,mid
mild,0,0.4906105101108551,0,1,low
mild,1,0.5422955751419067,0,0,mid
mild,0,0.52088862657547,1,1,mid
mild,0,0.4815673828125,1,1,low
mild,0,0.5147082209587097,1,1,mid
mild,0,0.5689789652824402,0,0,high
mild,0,0.5575873255729675,1,1,high
mild,0,0.505416750907898,1,1,mid
mild,0,0.5028983354568481,1,1,mid
mild,0,0.6001890301704407,1,1,high
mild,0,0.5478473901748657,1,1,high
mild,0,0.5058988332748413,1,1,mid
mild,0,0.4685395359992981,0,1,low
mild,0,0.5200607776641846,1,1,mid
mild,0,0.5490531325340271,1,1,high
mild,0,0.5411077737808228,1,1,mid
mild,0,0.5402846336364746,1,1,mid
mild,0,0.5153048038482666,1,1,mid
mild,0,0.5775023102760315,1,1,high
mild,0,0.5152134895324707,1,1,mid
mild,0,0.4917891025543213,1,1,low
mild,0,0.49949532747268677,1,1,mid
mild,0,0.4693215489387512,1,1,low
mild,0,0.5549445748329163,0,1,high
mild,0,0.5239507555961609,1,1,mid
mild,0,0.5427458882331848,1,1,mid
mild,0,0.5739558339118958,1,1,high
mild,0,0.547764241695404,1,1,high
mild,0,0.4998369812965393,0,1,mid
mild,0,0.539795994758606,1,1,mid
mild,0,0.5617669224739075,1,1,high
mild,0,0.6285856366157532,1,1,high
mild,0,0.7229517698287964,0,0,high
mild,0,0.4973388612270355,1,1,low
mild,0,0.465491384267807,1,1,low
mild,0,0.6035802960395813,1,1,high
mild,0,0.5691892504692078,0,0,high
mild,1,0.5914029479026794,0,0,high
mild,0,0.676649808883667,1,1,high
mild,0,0.5016517043113708,1,1,mid
