bb_idx,MT_Seq2Neo
1101,0.950636
1102,0.985221
1103,0.980555
1104,0.097753
1105,0.404537
1106,0.752156
1107,0.412611
1108,0.901146
1109,0.901226
1110,0.170382
1111,0.570675
1112,0.784793
1113,0.643101
1114,0.918052
1115,0.90501
1116,0.263434
1117,0.771969
1118,0.890853
1119,0.837022
1120,0.97103
1121,0.963453
1122,0.355538
1123,0.763735
1124,0.874684
1125,0.842336
1126,0.96603
1127,0.958339
1128,0.199184
1129,0.664292
1130,0.774637
1131,0.594241
1132,0.92777
1133,0.924677
1134,0.657743
1135,0.730069
1136,0.818172
1137,0.789128
1138,0.923942
1139,0.906198
1140,0.585125
1141,0.722418
1142,0.8282
1143,0.813837
1144,0.938844
1145,0.926225
1146,0.49819
1147,0.687853
1148,0.861557
1149,0.823974
1150,0.947164
1151,0.937189
1152,0.245246
1153,0.492632
1154,0.698638
1155,0.62768
1156,0.867426
1157,0.850438
1158,0.339894
1159,0.601664
1160,0.718294
1161,0.625077
1162,0.870133
1163,0.861252
1164,0.338848
1165,0.673214
1166,0.80354
1167,0.743586
1168,0.918762
1169,0.900422
1170,0.41779
1171,0.562248
1172,0.757798
1173,0.697225
1174,0.863329
1175,0.855408
1176,0.341595
1177,0.61772
