bb_idx,MT_Repitope,WT_Repitope
652,0.34688,0.23896
653,0.34688,0.23896
654,0.30832,0.22256
655,0.30832,0.22256
656,0.30832,0.22256
657,0.30832,0.22256
658,0.30832,0.22256
659,0.30832,0.22256
660,0.31312,0.29768
661,0.31312,0.29768
662,0.31312,0.29768
663,0.31312,0.29768
664,0.31312,0.29768
665,0.31312,0.29768
666,0.35352,0.2648
667,0.35352,0.2648
668,0.35352,0.2648
669,0.35352,0.2648
670,0.35352,0.2648
671,0.35352,0.2648
672,0.34432,0.20704
673,0.34432,0.20704
674,0.34432,0.20704
675,0.34432,0.20704
676,0.34432,0.20704
677,0.34432,0.20704
678,0.28352,0.1752
679,0.28352,0.1752
680,0.28352,0.1752
681,0.28352,0.1752
682,0.28352,0.1752
683,0.28352,0.1752
684,0.28896,0.24136
685,0.28896,0.24136
686,0.28896,0.24136
687,0.28896,0.24136
688,0.28896,0.24136
689,0.28896,0.24136
690,0.3548,0.2476
691,0.3548,0.2476
692,0.3548,0.2476
693,0.3548,0.2476
694,0.3548,0.2476
695,0.3548,0.2476
696,0.37792,0.27376
697,0.37792,0.27376
698,0.37792,0.27376
699,0.37792,0.27376
700,0.37792,0.27376
701,0.37792,0.27376
702,0.35312,0.37072
703,0.35312,0.37072
704,0.35312,0.37072
705,0.35312,0.37072
706,0.35312,0.37072
707,0.35312,0.37072
708,0.34408,0.40464
709,0.34408,0.40464
710,0.34408,0.40464
711,0.34408,0.40464
712,0.34408,0.40464
713,0.34408,0.40464
714,0.37464,0.4196
715,0.37464,0.4196
716,0.37464,0.4196
717,0.37464,0.4196
718,0.37464,0.4196
719,0.37464,0.4196
720,0.3664,0.416
721,0.3664,0.416
722,0.3664,0.416
723,0.3664,0.416
724,0.3664,0.416
725,0.3664,0.416
726,0.35712,0.35528
727,0.35712,0.35528
728,0.35712,0.35528
729,0.35712,0.35528
730,0.35712,0.35528
731,0.35712,0.35528
732,0.3164,0.3344
733,0.3164,0.3344
734,0.3164,0.3344
735,0.3164,0.3344
736,0.3164,0.3344
737,0.3164,0.3344
738,0.29664,0.3584
739,0.29664,0.3584
740,0.29664,0.3584
741,0.29664,0.3584
742,0.29664,0.3584
743,0.29664,0.3584
744,0.296,0.41384
745,0.296,0.41384
746,0.296,0.41384
747,0.296,0.41384
748,0.296,0.41384
749,0.296,0.41384
750,0.34128,0.41224
751,0.34128,0.41224
752,0.34128,0.41224
753,0.34128,0.41224
754,0.34128,0.41224
755,0.34128,0.41224
756,0.39776,0.39544
757,0.39776,0.39544
758,0.39776,0.39544
759,0.39776,0.39544
760,0.39776,0.39544
761,0.39776,0.39544
762,0.45072,0.46344
763,0.45072,0.46344
764,0.45072,0.46344
765,0.45072,0.46344
766,0.45072,0.46344
767,0.45072,0.46344
768,0.32024,0.35816
769,0.32024,0.35816
770,0.32024,0.35816
771,0.32024,0.35816
772,0.32024,0.35816
773,0.32024,0.35816
774,0.3296,0.35848
775,0.3296,0.35848
776,0.3296,0.35848
777,0.3296,0.35848
778,0.3296,0.35848
779,0.3296,0.35848
780,0.35792,0.36984
781,0.35792,0.36984
782,0.35792,0.36984
783,0.35792,0.36984
784,0.35792,0.36984
785,0.35792,0.36984
786,0.42784,0.44736
787,0.42784,0.44736
788,0.42784,0.44736
789,0.42784,0.44736
790,0.42784,0.44736
791,0.42784,0.44736
792,0.48936,0.52272
793,0.48936,0.52272
794,0.48936,0.52272
795,0.48936,0.52272
796,0.48936,0.52272
797,0.48936,0.52272
798,0.53176,0.57784
799,0.53176,0.57784
800,0.53176,0.57784
801,0.53176,0.57784
802,0.53176,0.57784
803,0.53176,0.57784
804,0.54432,0.55576
805,0.54432,0.55576
806,0.54432,0.55576
807,0.54432,0.55576
808,0.54432,0.55576
809,0.54432,0.55576
810,0.36448,0.35792
811,0.36448,0.35792
812,0.36448,0.35792
813,0.36448,0.35792
814,0.36448,0.35792
815,0.36448,0.35792
816,0.33512,0.37792
817,0.33512,0.37792
818,0.33512,0.37792
819,0.33512,0.37792
820,0.33512,0.37792
821,0.33512,0.37792
