bb_idx,MT_DeepNetBim,WT_DeepNetBim
635,1.0,1.0
636,0.9383894,0.16626287
637,0.9602132,0.17743361
638,0.9049263,0.17182752
639,0.9482448,0.17764929
640,1.0,1.0
641,1.0,1.0
642,0.028902113,0.028902292
643,0.028902113,0.028902233
644,0.028901964,0.028902173
645,0.028901964,0.028902173
646,1.0,1.0
647,1.0,1.0
648,0.043529063,0.007781118
649,0.04353389,0.0077810884
650,0.04336518,0.0077801943
651,0.043383032,0.0077802837
652,1.0,1.0
653,1.0,1.0
654,0.14804119,0.06720942
655,0.14804208,0.06721422
656,0.14802301,0.06704661
657,0.14802507,0.067064434
658,1.0,1.0
659,1.0,1.0
660,0.025648445,0.9459772
661,0.025907665,0.9652047
662,0.014346331,0.9177577
663,0.015342414,0.955024
664,1.0,1.0
665,1.0,1.0
666,0.054358423,0.0021772385
667,0.054362357,0.0021772385
668,0.054224014,0.0021770597
669,0.054238677,0.002177149
670,1.0,1.0
671,1.0,1.0
672,0.9347118,0.009460419
673,0.95774937,0.009460419
674,0.9049462,0.0094591975
675,0.94643134,0.0094593465
676,1.0,1.0
677,1.0,1.0
678,0.0030767024,0.9446268
679,0.0030767024,0.9642984
680,0.003076613,0.9191985
681,0.003076613,0.9547038
682,1.0,1.0
683,1.0,1.0
684,0.030567706,0.94543636
685,0.030567765,0.9648146
686,0.030567557,0.9183122
687,0.030567616,0.95469123
688,1.0,1.0
689,1.0,1.0
690,0.05340159,0.06671798
691,0.053404838,0.066721916
692,0.05329454,0.06658605
693,0.05330625,0.06660044
694,1.0,1.0
695,1.0,1.0
696,0.9317766,0.19175395
697,0.9559392,0.20421782
698,0.8844433,0.1979692
699,0.9403094,0.20445797
700,1.0,1.0
701,1.0,1.0
702,0.9507307,0.9546267
703,0.968308,0.97085667
704,0.9276061,0.93320227
705,0.9596753,0.9628916
706,1.0,1.0
707,1.0,1.0
708,0.13369158,0.15321529
709,0.13369262,0.15321642
710,0.13366997,0.15319148
711,0.13367239,0.15319413
712,1.0,1.0
713,1.0,1.0
714,0.12710896,0.086413056
715,0.12524581,0.086981654
716,0.12545174,0.06925899
717,0.12522382,0.071029186
718,1.0,1.0
719,1.0,1.0
720,0.07849538,0.23282158
721,0.079288274,0.24713862
722,0.05640495,0.23997271
723,0.058616728,0.24741355
724,1.0,1.0
725,1.0,1.0
726,0.05048248,0.076949924
727,0.050486714,0.07695532
728,0.050334066,0.07676414
729,0.05035022,0.0767844
730,1.0,1.0
731,1.0,1.0
732,0.058039874,0.09020859
733,0.058042735,0.09021282
734,0.057948202,0.09007093
735,0.057958186,0.09008598
736,1.0,1.0
737,1.0,1.0
738,0.13930422,0.95131767
739,0.13930526,0.968694
740,0.13928196,0.9281286
741,0.13928452,0.9600835
742,1.0,1.0
743,1.0,1.0
744,0.05200073,0.0802311
745,0.05200386,0.08023575
