bb_idx,MT_CNNeo,WT_CNNeo
165,0.88640684,
166,0.29804456,
167,0.6303484,
168,0.8685769,
169,0.42667055,
170,0.6891413,
171,0.8863722,
172,0.31676367,
173,0.6303484,
174,0.8655595,
175,0.31676367,
176,0.6303484,
177,0.8655595,
178,0.22993028,
179,0.6303484,
180,0.85237765,
181,0.5600773,
182,0.5513012,
183,0.89194506,
184,0.2945935,
185,0.61217916,
186,0.8345468,
187,0.35692203,
188,0.6303484,
189,0.8600513,
190,0.16468509,
191,0.70512867,
192,0.79842985,
193,0.2877017,
194,0.70512867,
195,0.8701962,
196,0.40838173,
197,0.6303484,
198,0.8801421,
199,0.30771887,
200,0.70512867,
201,0.85886955,
202,0.31676367,
203,0.6303484,
204,0.8655595,
205,0.2877017,
206,0.70512867,
207,0.8701962,
208,0.43466648,
209,0.6808932,
210,0.88594484,
211,0.216031,
212,0.6522136,
213,0.83129174,
214,0.3806502,
215,0.61217916,
216,0.88050187,
217,0.2093317,
218,0.57626224,
219,0.8458855,
220,0.21377224,
221,0.6303484,
222,0.8230628,
223,0.21186624,
224,0.6112616,
225,0.84407985,
226,0.49931547,0.49931547
227,0.56381035,0.56381035
228,0.5031266,0.5031266
229,0.4572865,0.4572865
230,0.56381106,0.56381106
231,0.4099366,0.35185772
232,0.49931547,0.49931547
233,0.50057226,0.5259942
234,0.4989475,0.4989475
235,0.4099366,0.4099366
236,0.49931547,0.49931547
237,0.50057226,0.50057226
238,0.5867815,0.5867815
239,0.5456148,0.5456148
240,0.4921113,0.4921113
241,0.4921113,0.4921113
242,0.5623969,0.5623969
243,0.20920116,
244,0.49931547,
245,0.7321427,
246,0.83566797,
247,0.91394585,
248,0.9057066,
249,0.2950489,
250,0.56381106,
251,0.7773232,
252,0.82833695,
253,0.90972304,
254,0.92396766,
255,0.21486793,
256,0.5013415,
257,0.7315713,
258,0.8368138,
259,0.9147188,
260,0.90512043,
261,0.24515705,
262,0.505384,
263,0.7236881,
264,0.80317223,
265,0.8956665,
266,0.8965572,
267,0.22673103,
268,0.5021761,
269,0.7297928,
270,0.80317223,
271,0.8956665,
272,0.9010699,
273,0.22673103,
274,0.5021761,
275,0.7297928,
276,0.80317223,
277,0.8956665,
278,0.9010699,
279,0.22673103,
280,0.5021761,
281,0.7297928,
282,0.80317223,
283,0.8956665,
284,0.9010699,
285,0.24536863,
286,0.5027857,
287,0.72111285,
288,0.80317223,
289,0.8956665,
290,0.8949965,
291,0.56381035,0.56381035
292,0.5021761,0.5021761
293,0.5013415,0.5013415
294,0.5259942,0.5259942
295,0.4921113,0.4921113
296,0.46219274,0.46219274
297,0.5259942,0.5259942
298,0.5021761,0.5021761
299,0.44379285,0.44379285
300,0.45035413,0.45035413
301,0.50250226,0.50250226
302,0.50057226,0.50057226
303,0.49931547,0.49931547
304,0.4545609,0.4545609
305,0.515204,0.515204
306,0.40814584,0.40814584
307,0.5419277,0.5419277
308,0.46219274,0.46219274
309,0.5021761,0.5021761
310,0.5259942,0.5259942
311,0.46219274,0.46219274
312,0.57003385,0.57003385
313,0.45099986,0.45099986
314,0.4989475,
315,0.5273877,
316,0.5775014,
317,0.57553154,
318,0.5675466,
319,0.54381615,
320,0.57553154,
321,0.54381615,
322,0.5259942,
323,0.4921113,
324,0.5021761,
325,0.57003385,
326,0.49931547,
327,0.4921113,
328,0.5031266,0.5031266
329,0.4921113,0.4921113
330,0.5259942,0.5259942
331,0.50250226,0.50250226
332,0.452579,0.452579
333,0.5775014,0.5775014
334,0.5273877,0.5273877
335,0.4227895,0.4227895
336,0.4970189,0.4970189
337,0.39150196,0.39150196
338,0.50250226,0.50250226
339,0.5698458,0.5698458
340,0.46727824,0.46727824
341,0.54381615,0.54381615
342,0.5273877,0.5273877
343,0.56381035,0.56381035
344,0.5021761,0.5021761
345,0.54381615,0.54381615
346,0.46219274,0.46219274
347,0.4565026,0.4565026
348,0.515204,0.515204
349,0.44795445,0.44795445
350,0.5013415,0.5013415
351,0.5259942,0.5259942
352,0.5456148,0.6053038
353,0.49931547,0.49931547
354,0.5623969,0.5623969
355,0.50250226,0.50250226
356,0.44795445,0.44795445
357,0.5013415,0.5013415
358,0.4921113,0.4921113
359,0.4989475,0.4989475
360,0.4921113,0.5273877
361,0.5021761,0.5021761
362,0.4605354,0.4605354
363,0.41164622,0.41164622
364,0.5456148,0.5456148
365,0.5273877,0.5273877
366,0.36288953,0.36288953
367,0.50250226,0.50250226
368,0.4989475,0.4989475
369,0.5273877,0.5273877
370,0.56381035,0.56381035
371,0.56381035,0.6413542
372,0.56381035,0.5013415
373,0.56381035,0.56381035
374,0.5273877,0.5273877
375,0.4921113,0.4921113
376,0.5021761,0.5021761
377,0.452579,0.452579
378,0.53800195,0.53800195
379,0.5160524,0.5160524
380,0.49931547,0.49931547
381,0.50057226,0.50057226
382,0.5946618,0.5946618
383,0.63805777,0.63805777
384,0.54381615,0.54381615
385,0.5775014,0.5775014
386,0.460273,0.460273
