sample_id,domain,conv_step,converged,final_norm,max_steps,cos_thr,trained_S,extrapolated
vindr_ecab6e4508ae3d260d77c125c1636e75.png,VinDr,,False,106.64311218261719,16,0.01,16,False
vindr_25f2c7b53a6ed09a9aaf73c30357aaf6.png,VinDr,,False,102.63875579833984,16,0.01,16,False
vindr_d591c236932c877da7c0c13088624ac8.png,VinDr,,False,94.9260482788086,16,0.01,16,False
vindr_1250833589109a2105ab536d7cb83f2a.png,VinDr,,False,102.73979949951172,16,0.01,16,False
vindr_24d6b814577360fb4d11e0e6aecfefb0.png,VinDr,,False,106.89271545410156,16,0.01,16,False
vindr_803e047ce22c14175d0631e947ed1599.png,VinDr,,False,94.77708435058594,16,0.01,16,False
vindr_9344b9c2ab4ea5f9e3e135d60ef9ed0d.png,VinDr,,False,102.74337768554688,16,0.01,16,False
vindr_897757186606c34fcc0ace7d9f896397.png,VinDr,,False,96.19319152832031,16,0.01,16,False
vindr_4869a847a5271f2eeffe65ff1db8a9b1.png,VinDr,,False,107.57965850830078,16,0.01,16,False
vindr_30b7dd205c8a2b1728e12b5ca6e534d0.png,VinDr,,False,105.1532211303711,16,0.01,16,False
vindr_e653bcbc027754e61652cd1393cd8667.png,VinDr,,False,99.9387435913086,16,0.01,16,False
vindr_866dbe49745ba415cdf982849e49ac72.png,VinDr,,False,106.47100830078125,16,0.01,16,False
vindr_e04c58b55093d601257c9017dbba66e0.png,VinDr,,False,89.31670379638672,16,0.01,16,False
vindr_0c636320c819477ec9fb4c221243b77b.png,VinDr,,False,104.66175079345703,16,0.01,16,False
vindr_834c4af584953df1bf99781e36853fa1.png,VinDr,,False,99.60479736328125,16,0.01,16,False
vindr_e89430cc87ac300a21b208d0c431fc20.png,VinDr,,False,94.0136489868164,16,0.01,16,False
vindr_c516ff097d60479f58a797cefad2c80f.png,VinDr,,False,109.79324340820312,16,0.01,16,False
vindr_5cb791df53222e6c6cae8c429e9bec83.png,VinDr,,False,101.66752624511719,16,0.01,16,False
vindr_1d8b142c4c168ce0317f32f1ba6bf55d.png,VinDr,,False,103.62240600585938,16,0.01,16,False
vindr_adf4d0d9291b870882f18d7a32db0e67.png,VinDr,,False,107.57044982910156,16,0.01,16,False
vindr_6d58e4bb28efa358fbce1c94e6b15efe.png,VinDr,,False,94.43309020996094,16,0.01,16,False
vindr_a1b5cfca2b1906d2d92b6668e39501fe.png,VinDr,,False,103.08056640625,16,0.01,16,False
vindr_9d41d30b9d8cee9a95a63cd6e696a1e4.png,VinDr,,False,92.89039611816406,16,0.01,16,False
vindr_b9b836ead20d72be7d215310aa5217cb.png,VinDr,,False,102.65061950683594,16,0.01,16,False
vindr_79318d422f9c3d533aae56a3a2db16b8.png,VinDr,,False,104.63911437988281,16,0.01,16,False
vindr_45f04a5e14cd4763fb55fc7950beffce.png,VinDr,,False,93.3022232055664,16,0.01,16,False
vindr_2f5a3aa315379bb01b8b4c9a1ece8e2e.png,VinDr,,False,99.81957244873047,16,0.01,16,False
vindr_306d35d649f4fe90bec5b21eb3d8c42f.png,VinDr,,False,102.19746398925781,16,0.01,16,False
vindr_7729fbb58b8006fe2b8305f9b2b33883.png,VinDr,,False,103.41980743408203,16,0.01,16,False
vindr_2d64ca640df9686f4d2f6152b6ca74ab.png,VinDr,,False,102.57245635986328,16,0.01,16,False
vindr_5caad1f4ec4cc0efad99006f98051cd8.png,VinDr,,False,107.44344329833984,16,0.01,16,False
vindr_6097e21640f344e315fe9d99d2cbe307.png,VinDr,,False,108.3169174194336,16,0.01,16,False
vindr_522dc90427079ab9ec152eb1f26dd14a.png,VinDr,,False,102.04826354980469,16,0.01,16,False
vindr_f3aa2bf9e8bd2a4228ca4fc31200e8c3.png,VinDr,,False,109.51303100585938,16,0.01,16,False
vindr_09df460412ce705d0f634436f518f46d.png,VinDr,,False,101.4481430053711,16,0.01,16,False
vindr_866a996e613e21783bb4524ca1679ab1.png,VinDr,,False,104.95067596435547,16,0.01,16,False
vindr_a5ae36dfad78f8734605d73781b02f3b.png,VinDr,,False,99.3403549194336,16,0.01,16,False
vindr_d90c05c408dca0689ee6319b69d4aa03.png,VinDr,,False,110.20585632324219,16,0.01,16,False
vindr_e7ee695015acda8604f34f0da3849efb.png,VinDr,,False,106.55289459228516,16,0.01,16,False
vindr_8c89c64a8b401ad7bee1fd6e3cfae1ad.png,VinDr,,False,109.06827545166016,16,0.01,16,False
vindr_f5479abf714c907a22abe972dcbd2ce5.png,VinDr,,False,95.74698638916016,16,0.01,16,False
vindr_822c4cfa6ccc027318abacda96617282.png,VinDr,,False,105.74308013916016,16,0.01,16,False
vindr_dcadb2dc23b88c30cf7e99b66ec77010.png,VinDr,,False,112.03443908691406,16,0.01,16,False
vindr_6644b267058ae9b1d8b10ff905879bca.png,VinDr,,False,105.67784118652344,16,0.01,16,False
vindr_65a3340f4a27e5bd9a4c36a0ae157adb.png,VinDr,,False,99.21595764160156,16,0.01,16,False
vindr_b0624af5299ac0a86e5ffee813f937e1.png,VinDr,,False,89.05939483642578,16,0.01,16,False
vindr_485d87951e7995283adeffe95a8bb892.png,VinDr,,False,100.24072265625,16,0.01,16,False
vindr_5dbd07d98fe5a1ad7d8b0ae0ad893de4.png,VinDr,,False,95.93104553222656,16,0.01,16,False
